model,ytrue,yhat
XGB-SW3Y,20.0,85.49327087402344
XGB-SW3Y,33.0,85.49327087402344
XGB-SW3Y,12.0,60.7079963684082
XGB-SW3Y,47.0,86.06588745117188
XGB-SW3Y,61.00000000000001,63.23368453979492
XGB-SW3Y,41.0,75.38140106201172
XGB-SW3Y,99.0,75.38140106201172
XGB-SW3Y,65.0,78.56958770751953
XGB-SW3Y,78.0,56.566429138183594
XGB-SW3Y,46.0,43.14967727661133
XGB-SW3Y,26.0,49.00831604003906
XGB-SW3Y,46.0,67.68836212158203
XGB-SW3Y,69.0,72.73423767089844
XGB-SW3Y,108.0,72.73423767089844
XGB-SW3Y,121.0,79.69337463378906
XGB-SW3Y,67.0,79.69337463378906
XGB-SW3Y,71.0,67.68444061279297
XGB-SW3Y,50.0,72.81047821044922
XGB-SW3Y,107.0,94.5666275024414
XGB-SW3Y,99.0,94.5666275024414
XGB-SW3Y,105.0,97.24535369873047
XGB-SW3Y,157.0,102.95008850097656
XGB-SW3Y,102.0,108.72676086425781
XGB-SW3Y,79.0,102.3470230102539
XGB-SW3Y,72.0,113.34913635253906
XGB-SW3Y,140.0,88.14299011230469
XGB-SW3Y,134.0,98.17758178710938
XGB-SW3Y,102.0,100.42142486572266
XGB-SW3Y,107.0,124.38916778564453
XGB-SW3Y,123.0,124.38916778564453
XGB-SW3Y,40.0,101.06591796875
XGB-SW3Y,79.0,119.6893081665039
XGB-SW3Y,103.0,111.6927261352539
XGB-SW3Y,187.0,118.05499267578125
XGB-SW3Y,77.0,114.8360595703125
XGB-SW3Y,166.0,132.85621643066406
XGB-SW3Y,92.0,132.85621643066406
XGB-SW3Y,89.0,108.49227905273438
XGB-SW3Y,124.0,95.71952819824219
XGB-SW3Y,113.00000000000001,104.80200958251953
XGB-SW3Y,119.0,104.80200958251953
XGB-SW3Y,79.0,104.80200958251953
XGB-SW3Y,117.0,104.80200958251953
XGB-SW3Y,122.00000000000001,104.80200958251953
XGB-SW3Y,87.0,91.81267547607422
XGB-SW3Y,81.0,104.80200958251953
XGB-SW3Y,104.0,137.57611083984375
XGB-SW3Y,72.0,137.57611083984375
XGB-SW3Y,74.0,137.57611083984375
XGB-SW3Y,140.0,137.57611083984375
XGB-SW3Y,131.0,137.57611083984375
XGB-SW3Y,231.0,129.9369354248047
XGB-SW3Y,232.0,137.57611083984375
XGB-SW3Y,318.0,161.76722717285156
XGB-SW3Y,432.0,292.73797607421875
XGB-SW3Y,593.0,245.26724243164062
XGB-SW3Y,457.0,335.2886047363281
XGB-SW3Y,576.0,327.34844970703125
XGB-SW3Y,678.0,354.83203125
XGB-SW3Y,534.0,495.7877197265625
XGB-SW3Y,917.0,444.5537109375
XGB-SW3Y,401.0,534.582275390625
XGB-SW3Y,527.0,547.4602661132812
XGB-SW3Y,473.00000000000006,410.2585754394531
XGB-SW3Y,548.0,509.42822265625
XGB-SW3Y,864.9999999999999,409.520263671875
XGB-SW3Y,480.00000000000006,369.17315673828125
XGB-SW3Y,1348.0,502.5472106933594
XGB-SW3Y,461.0,564.9408569335938
XGB-SW3Y,625.0,387.1244812011719
XGB-SW3Y,516.0,421.4558410644531
XGB-SW3Y,785.0,557.8384399414062
XGB-SW3Y,1547.0,703.2688598632812
XGB-SW3Y,714.0,589.133056640625
XGB-SW3Y,1244.0,590.3165283203125
XGB-SW3Y,688.0,590.3165283203125
XGB-SW3Y,1209.0,590.3165283203125
XGB-SW3Y,1361.0,590.3165283203125
XGB-SW3Y,788.0,718.4893188476562
XGB-SW3Y,868.0,718.4893188476562
XGB-SW3Y,1199.0,718.4893188476562
XGB-SW3Y,1368.0,633.0534057617188
XGB-SW3Y,1476.0,633.0534057617188
XGB-SW3Y,402.0,701.1784057617188
XGB-SW3Y,778.0,701.1784057617188
XGB-SW3Y,290.0,701.1784057617188
XGB-SW3Y,852.0,701.1784057617188
XGB-SW3Y,674.0,701.1784057617188
XGB-SW3Y,884.0,1046.7513427734375
XGB-SW3Y,1635.0,1269.8232421875
XGB-SW3Y,924.0,1051.8438720703125
XGB-SW3Y,1659.0,1040.410888671875
XGB-SW3Y,1265.0,1106.855712890625
XGB-SW3Y,1442.0,781.59375
XGB-SW3Y,1988.0,744.1934814453125
XGB-SW3Y,1516.0,1513.694580078125
XGB-SW3Y,2433.0,1478.7623291015625
XGB-SW3Y,1733.9999999999998,1308.776123046875
XGB-SW3Y,3224.0,1240.697998046875
XGB-SW3Y,2178.0,1234.8616943359375
XGB-SW3Y,2478.0,1328.2169189453125
XGB-SW3Y,3445.0,1910.193115234375
XGB-SW3Y,1303.0,2290.341064453125
XGB-SW3Y,2819.0,2290.341064453125
XGB-SW3Y,1558.0,2290.341064453125
XGB-SW3Y,2536.0,1936.33349609375
XGB-SW3Y,1847.0000000000002,1815.87841796875
XGB-SW3Y,1208.0,1347.8214111328125
XGB-SW3Y,2054.0,1535.2646484375
XGB-SW3Y,1246.0,1397.432861328125
XGB-SW3Y,2512.0,1422.363037109375
XGB-SW3Y,1796.9999999999998,1221.99609375
XGB-SW3Y,1788.0,1470.5020751953125
XGB-SW3Y,1808.0000000000002,1287.3603515625
XGB-SW3Y,476.0,858.7570190429688
XGB-SW3Y,1378.0,1537.6304931640625
XGB-SW3Y,1159.0,1233.2337646484375
XGB-SW3Y,1030.0,1233.2337646484375
XGB-SW3Y,852.0,1195.43798828125
XGB-SW3Y,1300.0,1195.43798828125
XGB-SW3Y,1564.0,952.4369506835938
XGB-SW3Y,1196.0,724.3995361328125
XGB-SW3Y,854.0,990.2327880859375
XGB-SW3Y,763.0,556.7941284179688
XGB-SW3Y,833.0,556.7941284179688
XGB-SW3Y,645.0,556.7941284179688
XGB-SW3Y,231.0,407.2158203125
XGB-SW3Y,341.0,407.2158203125
XGB-SW3Y,154.0,407.2158203125
XGB-SW3Y,288.0,407.2158203125
XGB-SW3Y,157.0,472.7727355957031
XGB-SW3Y,1001.0,472.7727355957031
XGB-SW3Y,502.00000000000006,472.7727355957031
XGB-SW3Y,285.0,472.7727355957031
XGB-SW3Y,393.0,472.7727355957031
XGB-SW3Y,256.0,472.7727355957031
XGB-SW3Y,389.0,472.7727355957031
XGB-SW3Y,614.0,611.8925170898438
XGB-SW3Y,806.0,611.8925170898438
XGB-SW3Y,871.0,590.5206298828125
XGB-SW3Y,940.0,590.5206298828125
XGB-SW3Y,648.0,590.5206298828125
XGB-SW3Y,457.99999999999994,504.8258056640625
XGB-SW3Y,252.0,515.4776000976562
XGB-SW3Y,608.0,490.4196472167969
XGB-SW3Y,126.99999999999999,490.4196472167969
XGB-SW3Y,1177.0,490.4196472167969
XGB-SW3Y,434.0,490.4196472167969
XGB-SW3Y,411.0,490.4196472167969
XGB-SW3Y,840.0,490.4196472167969
XGB-SW3Y,136.0,490.4196472167969
XGB-SW3Y,485.0,534.6026611328125
XGB-SW3Y,656.0,534.6026611328125
XGB-SW3Y,297.0,534.6026611328125
XGB-SW3Y,946.0000000000001,534.6026611328125
XGB-SW3Y,285.0,534.6026611328125
XGB-SW3Y,653.0,534.6026611328125
XGB-SW3Y,688.0,534.6026611328125
XGB-SW3Y,208.0,514.4234619140625
XGB-SW3Y,520.0,514.4234619140625
XGB-SW3Y,126.0,514.4234619140625
XGB-SW3Y,1402.0,514.4234619140625
XGB-SW3Y,588.0,514.4234619140625
XGB-SW3Y,197.0,465.8125915527344
XGB-SW3Y,258.0,470.9276428222656
XGB-SW3Y,95.0,509.1519470214844
XGB-SW3Y,589.0,575.74267578125
XGB-SW3Y,175.0,556.148681640625
XGB-SW3Y,459.00000000000006,556.148681640625
XGB-SW3Y,2060.0,556.148681640625
XGB-SW3Y,84.0,474.0901184082031
XGB-SW3Y,113.00000000000001,578.4134521484375
XGB-SW3Y,346.0,391.1338195800781
XGB-SW3Y,419.0,391.1338195800781
XGB-SW3Y,228.99999999999997,391.1338195800781
XGB-SW3Y,77.0,391.1338195800781
XGB-SW3Y,629.0,391.1338195800781
XGB-SW3Y,110.0,290.6360168457031
XGB-SW3Y,231.0,290.6360168457031
XGB-SW3Y,728.0,291.3721008300781
XGB-SW3Y,179.0,291.3721008300781
XGB-SW3Y,1156.0,291.3721008300781
XGB-SW3Y,146.0,291.3721008300781
XGB-SW3Y,541.0,291.3721008300781
XGB-SW3Y,579.0,291.3721008300781
XGB-SW3Y,123.0,291.3721008300781
XGB-SW3Y,796.0,235.91078186035156
XGB-SW3Y,128.0,298.8659973144531
XGB-SW3Y,643.0,290.4168701171875
XGB-SW3Y,932.0000000000001,284.02978515625
XGB-SW3Y,146.0,329.6876525878906
XGB-SW3Y,729.0,355.26470947265625
XGB-SW3Y,224.0,265.4161682128906
XGB-SW3Y,337.0,248.95240783691406
XGB-SW3Y,203.0,283.46728515625
XGB-SW3Y,40.0,336.0295104980469
XGB-SW3Y,56.0,355.97418212890625
XGB-SW3Y,54.0,376.6639404296875
XGB-SW3Y,178.0,356.8580627441406
XGB-SW3Y,359.0,398.2990417480469
XGB-SW3Y,74.0,166.02206420898438
XGB-SW3Y,175.0,192.35699462890625
XGB-SW3Y,130.0,219.95899963378906
XGB-SW3Y,572.0,247.13096618652344
XGB-SW3Y,46.0,327.4895324707031
XGB-SW3Y,48.0,169.60240173339844
XGB-SW3Y,228.99999999999997,213.1961212158203
XGB-SW3Y,26.0,195.63156127929688
XGB-SW3Y,304.0,195.63156127929688
XGB-SW3Y,98.0,195.63156127929688
XGB-SW3Y,143.0,195.63156127929688
XGB-SW3Y,337.0,195.63156127929688
XGB-SW3Y,42.0,195.63156127929688
XGB-SW3Y,315.0,195.63156127929688
XGB-SW3Y,153.0,141.4333953857422
XGB-SW3Y,29.0,146.30377197265625
XGB-SW3Y,101.0,146.30377197265625
XGB-SW3Y,48.0,146.30377197265625
XGB-SW3Y,227.0,146.30377197265625
XGB-SW3Y,26.0,146.30377197265625
XGB-SW3Y,46.0,141.4333953857422
XGB-SW3Y,18.0,11.715914726257324
